Plot_ID,Owner_Name,Father_Name,Survey_No,Gat_No,Area,Land_Type,Village,Taluka,District,State,Ownership_Type,No_of_Owners,Crop_Type,Irrigation_Source,Encumbrances,Mutation_Entry_No,Date_of_Mutation,Purchase_Value,Market_Value,Transaction_Type,Registration_No,Aadhaar_No,PAN_No,Contact_No,Address,Latitude,Longitude,Soil_Type,Fertility_Status,Ownership_Status,Land_Use,Tax_Status,Remarks,Last_Updated
PLOT011,Zara Deo,Pranay Shinde,768/B,987,9.23,Agricultural,Belgaum,Karjat,Kolhapur,Maharashtra,Single,1,Cotton,Rainfed,Bank Loan,M3974,2025-02-26,₹496807,₹1834743,Gift,R9329,XXXX-XXXX-9169,GNUPM4280K,+913816235701,"65/99, Barad, Bardhaman-741372",19.1708,73.8686,Black Cotton,Medium,Active,Fallow,Paid,Irrigated area,2025-02-22
PLOT012,Tiya Thaman,Taimur Jadhav,928/C,384,7.63,Non-Agricultural,Dehradun,Rahuri,Beed,Maharashtra,Single,1,Paddy,Canal,None,M3432,2022-09-11,₹734314,₹937779,Inheritance,R8354,XXXX-XXXX-2839,YKMPS0868S,+913944649217,"80/992, Sule Street, Berhampur 042713",19.7266,73.5941,Red,Fertile,Disputed,Residential,Paid,Dryland,2025-05-15
PLOT013,Hazel Bains,Jivika Kadam,643/C,453,2.63,Non-Agricultural,Gangtok,Rahuri,Beed,Maharashtra,Single,1,Wheat,Well,Bank Loan,M8329,2024-03-15,₹467401,₹1149903,Sale,R1584,XXXX-XXXX-4590,UNNPC9448L,8536473715,"35, Chandra Zila, Morbi-402721",17.0452,75.0975,Laterite,Fertile,Disputed,Crop,Paid,Dryland,2025-03-05
PLOT014,Raunak Bhandari,Uthkarsh Patil,222/B,725,5.56,Agricultural,Kolhapur,Pandharpur,Beed,Maharashtra,Single,1,Sugarcane,Canal,Mortgage,M9123,2023-11-02,₹655551,₹1557292,Gift,R1877,XXXX-XXXX-8757,RVUPA4578W,9739797913,"43, Loke Nagar, Faridabad-106404",19.7227,73.799,Sandy,Low,Disputed,Crop,Unpaid,Irrigated area,2025-04-11
PLOT015,Rohan Biswas,Bhamini Deshmukh,891/A,364,2.32,Non-Agricultural,Khora ,Pandharpur,Ahmednagar,Maharashtra,Joint,4,Paddy,Canal,None,M1183,2021-02-09,₹533807,₹1483198,Gift,R5136,XXXX-XXXX-1353,AASPG6522T,+913237588850,"H.No. 950, Chakraborty Ganj, Jamalpur-035443",18.9195,75.0629,Laterite,Low,Active,Crop,Paid,Partially cultivated,2024-11-04
PLOT016,Kartik Dhillon,Kabir Patil,465/B,436,4.6,Non-Agricultural,Baranagar,Karmala,Nashik,Maharashtra,Joint,2,Cotton,Well,Legal Dispute,M7168,2024-03-10,₹566064,₹1635288,Inheritance,R3856,XXXX-XXXX-5677,QZAPV2281G,+915267880276,"97, Gade Nagar, Rourkela 242492",17.9299,74.503,Sandy,Fertile,Disputed,Crop,Unpaid,Partially cultivated,2025-06-06
PLOT017,Vivaan Bir,Raghav Deshmukh,319/C,507,5.65,Agricultural,Burhanpur,Baramati,Ahmednagar,Maharashtra,Single,1,Sugarcane,Well,None,M7632,2022-02-16,₹672005,₹1401415,Inheritance,R4395,XXXX-XXXX-8558,DALPI0197J,6938218979,"H.No. 443, Doshi Chowk, Etawah 285956",17.3621,73.4216,Black Cotton,Medium,Active,Fallow,Paid,Dryland,2025-07-27
PLOT018,Nitya Rama,Bhavin Jadhav,697/B,452,4.6,Agricultural,Pondicherry,Baramati,Ahmednagar,Maharashtra,Single,1,Maize,Borewell,Mortgage,M9212,2023-02-22,₹224253,₹1282432,Sale,R9936,XXXX-XXXX-2441,VMCPR1328D,06823305997,"918, Borah Road, Gudivada-851539",18.2329,74.752,Red,Medium,Disputed,Residential,Paid,Dryland,2025-01-03
PLOT019,Kanav Kade,Aarush Kadam,392/B,707,6.81,Agricultural,Amravati,Rahuri,Pune,Maharashtra,Single,1,Soybean,Well,Bank Loan,M3116,2023-05-07,₹334157,₹1568302,Sale,R1471,XXXX-XXXX-5515,FJHPB7353T,+919428522387,"83/72, Sodhi Zila, Karaikudi 472110",17.0748,74.997,Red,Low,Active,Residential,Paid,Partially cultivated,2025-05-09
PLOT020,Lakshay Jayaraman,Parinaaz Patil,586/B,739,5.58,Non-Agricultural,Raebareli,Beed,Solapur,Maharashtra,Joint,3,Sugarcane,Borewell,Mortgage,M5219,2025-09-13,₹783207,₹1747014,Gift,R1707,XXXX-XXXX-7412,KJQPK4949C,02078047863,"37/654, Dua Zila, Bathinda-326730",19.9837,73.6453,Sandy,Medium,Disputed,Fallow,Unpaid,Under observation,2025-06-17
PLOT021,Nishith Wason,Aarush Deshmukh,574/B,254,8.97,Non-Agricultural,Ramgarh,Pandharpur,Nashik,Maharashtra,Single,1,Fallow,Well,None,M2453,2025-09-28,₹562932,₹1485533,Gift,R5901,XXXX-XXXX-4769,VIOPM1243C,02339479543,"H.No. 896, Bora Zila, Nagaon-588241",17.9687,73.0137,Sandy,Medium,Active,Fallow,Unpaid,Dryland,2025-08-22
PLOT022,Anya Soni,Ehsaan Deshmukh,353/B,531,0.97,Agricultural,Gurgaon,Baramati,Ahmednagar,Maharashtra,Single,1,Paddy,Rainfed,Legal Dispute,M9477,2022-10-08,₹767126,₹1899990,Inheritance,R2962,XXXX-XXXX-9951,DEQPX5004J,03442081438,"84/06, Krish Path, Sultan Pur Majra-989956",19.0279,75.2171,Black Cotton,Medium,Disputed,Fallow,Unpaid,Under observation,2025-09-11
PLOT023,Pranay Sathe,Mannat Kadam,312/B,571,3.3,Agricultural,Kota,Beed,Ahmednagar,Maharashtra,Joint,3,Cotton,Well,None,M7708,2021-03-10,₹331248,₹1818573,Gift,R6430,XXXX-XXXX-7985,GQTPY4927U,01335534944,"86, Chokshi Ganj, Aligarh 471984",19.0557,75.8599,Sandy,Low,Active,Crop,Unpaid,Partially cultivated,2025-05-29
PLOT024,Kabir Sabharwal,Divij Shinde,121/C,628,4.42,Agricultural,Thanjavur,Karmala,Kolhapur,Maharashtra,Joint,3,Wheat,Well,None,M5533,2025-06-07,₹643413,₹1025077,Sale,R9106,XXXX-XXXX-7342,BFIPW8691N,2530186249,"59/046, Shanker Marg, Nandyal 862344",18.8773,75.4818,Black Cotton,Fertile,Disputed,Crop,Unpaid,Dryland,2025-07-03
PLOT025,Reyansh Lal,Dhanuk Shinde,210/C,772,3.21,Agricultural,Chennai,Rahuri,Pune,Maharashtra,Joint,4,Maize,Rainfed,Legal Dispute,M6989,2025-08-14,₹592825,₹1589271,Gift,R9824,XXXX-XXXX-6288,UDFPA0455H,+913012437417,"H.No. 138, Khanna Zila, Avadi-132604",17.7551,75.3528,Laterite,Medium,Active,Residential,Unpaid,Dryland,2024-12-17
PLOT026,Pranay Rout,Khushi Patil,118/C,323,9.76,Non-Agricultural,Dehri,Rahuri,Solapur,Maharashtra,Joint,2,Fallow,Well,None,M2298,2022-08-20,₹288470,₹931096,Gift,R1113,XXXX-XXXX-2293,PSAPZ0956Q,02002221427,"53/972, Das Nagar, Danapur-941213",17.1127,75.4472,Laterite,Low,Active,Crop,Paid,Partially cultivated,2025-04-13
PLOT027,Hridaan Dhaliwal,Ranbir Jadhav,270/A,180,7.78,Agricultural,Bhusawal,Pandharpur,Kolhapur,Maharashtra,Joint,4,Soybean,Canal,Mortgage,M2965,2024-01-02,₹340806,₹1760791,Gift,R5024,XXXX-XXXX-1228,FBAPW6527N,03069358276,"04/263, Khurana, Motihari-134757",18.3186,74.7612,Sandy,Medium,Disputed,Residential,Unpaid,Irrigated area,2025-06-01
PLOT028,Zeeshan Wason,Dishani Jadhav,452/C,422,0.84,Non-Agricultural,Dharmavaram,Baramati,Ahmednagar,Maharashtra,Joint,2,Cotton,Borewell,None,M3962,2025-01-24,₹223717,₹1668092,Gift,R6469,XXXX-XXXX-5282,YETPN5113R,1370085263,"82/705, Khalsa Path, Aurangabad 266100",19.9065,74.1519,Alluvial,Low,Active,Fallow,Unpaid,Irrigated area,2025-09-11
PLOT029,Tarini Bobal,Jivika Jadhav,837/B,629,8.42,Non-Agricultural,Mahbubnagar,Pandharpur,Kolhapur,Maharashtra,Joint,4,Maize,Well,Bank Loan,M2467,2023-12-31,₹710834,₹1801577,Inheritance,R9281,XXXX-XXXX-1797,HBXPZ9889Z,+915031912767,"88/543, Suri Ganj, Jabalpur 845174",18.6282,74.7239,Sandy,Fertile,Disputed,Residential,Paid,Under observation,2025-04-14
PLOT030,Mahika Rajan,Samar Patil,832/B,198,7.54,Agricultural,Bhimavaram,Karjat,Kolhapur,Maharashtra,Single,1,Maize,Well,Bank Loan,M4865,2023-05-24,₹760202,₹1537016,Inheritance,R1676,XXXX-XXXX-7489,PHDPG0399Q,03795332980,"86/011, Chacko Marg, Bhubaneswar 782536",19.7033,74.5173,Alluvial,Low,Disputed,Residential,Paid,Under observation,2024-11-05
PLOT031,Vardaniya Dhingra,Ira Jadhav,991/A,484,9.29,Non-Agricultural,Kharagpur,Karmala,Ahmednagar,Maharashtra,Joint,3,Maize,Canal,Legal Dispute,M1096,2024-03-13,₹287061,₹1199872,Gift,R5902,XXXX-XXXX-6666,CMPPC1454W,+913623436664,"002, Baria Path, Ranchi-773977",19.4881,74.7588,Alluvial,Medium,Disputed,Fallow,Paid,Irrigated area,2025-10-04
PLOT032,Miraya Suresh,Shanaya Kadam,545/A,445,1.82,Non-Agricultural,Raiganj,Beed,Beed,Maharashtra,Single,1,Wheat,Well,Mortgage,M9782,2023-05-10,₹620466,₹1360514,Gift,R3253,XXXX-XXXX-3977,LYJPH6480I,04197890526,"728, Bansal Chowk, Sonipat 439068",17.3901,75.8608,Black Cotton,Low,Active,Residential,Unpaid,Dryland,2024-10-21
PLOT033,Jivin Sandhu,Tiya Jadhav,411/C,269,2.43,Non-Agricultural,Jhansi,Rahuri,Kolhapur,Maharashtra,Joint,2,Sugarcane,Canal,Legal Dispute,M5010,2024-01-22,₹245426,₹1524499,Inheritance,R8326,XXXX-XXXX-1509,KLMPH7401B,5549464517,"38/96, Thaman Road, Bhiwandi-999820",17.691,75.4789,Laterite,Medium,Disputed,Crop,Paid,Partially cultivated,2025-09-24
PLOT034,Advika Deshpande,Dhanush Kadam,594/C,991,9.06,Agricultural,Moradabad,Sangola,Solapur,Maharashtra,Joint,3,Paddy,Well,None,M9419,2021-11-01,₹496753,₹1931424,Inheritance,R6568,XXXX-XXXX-9272,HHYPM3802K,0357240366,"97/98, Gulati Circle, Ahmednagar 325216",19.6701,75.402,Alluvial,Low,Active,Crop,Paid,Under observation,2025-02-06
PLOT035,Vaibhav Rege,Ishaan Shinde,821/A,661,8.14,Agricultural,Berhampur,Beed,Ahmednagar,Maharashtra,Single,1,Fallow,Borewell,Legal Dispute,M6087,2024-10-12,₹412465,₹1935232,Inheritance,R4341,XXXX-XXXX-4053,OEGPP1876M,09825335848,"H.No. 39, Sood Circle, Ulhasnagar 229363",17.0029,75.7444,Red,Medium,Active,Crop,Unpaid,Dryland,2025-07-09
PLOT036,Aaryahi Malhotra,Priyansh Patil,798/B,621,8.02,Agricultural,Raichur,Sangola,Nashik,Maharashtra,Joint,2,Sugarcane,Rainfed,None,M7689,2021-06-13,₹378311,₹1765742,Inheritance,R9787,XXXX-XXXX-9694,ULFPM7025M,+911892587385,"82, Reddy Path, Mathura 826220",19.7694,75.9123,Alluvial,Medium,Active,Residential,Paid,Under observation,2025-08-13
PLOT037,Raghav Bansal,Nishith Kadam,245/B,978,1.03,Agricultural,Bidhannagar,Beed,Solapur,Maharashtra,Joint,3,Wheat,Canal,Mortgage,M5239,2024-02-19,₹245269,₹1342848,Inheritance,R4560,XXXX-XXXX-1118,BJHPZ1242G,09441437210,"70/366, Bal Ganj, Chandrapur-509926",17.878,75.3025,Sandy,Fertile,Disputed,Crop,Paid,Partially cultivated,2025-04-23
PLOT038,Rania Toor,Tushar Deshmukh,986/C,833,0.89,Agricultural,Firozabad,Pandharpur,Kolhapur,Maharashtra,Single,1,Maize,Rainfed,Legal Dispute,M5589,2021-07-25,₹573130,₹1766119,Inheritance,R1963,XXXX-XXXX-4072,CIWPT9342X,3271253492,"H.No. 361, Tak Road, Maheshtala 025757",18.117,74.8522,Alluvial,Fertile,Disputed,Crop,Unpaid,Partially cultivated,2025-04-11
PLOT039,Zoya Bhasin,Hansh Kadam,130/C,368,8.56,Non-Agricultural,Madanapalle,Rahuri,Ahmednagar,Maharashtra,Single,1,Cotton,Well,Mortgage,M5985,2021-07-12,₹498482,₹1658025,Sale,R2479,XXXX-XXXX-5804,SNCPT5467V,02368596804,"63, Shenoy Circle, Warangal-842649",19.6849,74.5001,Sandy,Fertile,Active,Fallow,Paid,Dryland,2025-07-24
PLOT040,Ishaan Solanki,Mishti Patil,706/B,956,3.52,Agricultural,Delhi,Karmala,Nashik,Maharashtra,Joint,4,Maize,Borewell,Mortgage,M3025,2020-11-30,₹753861,₹1524022,Inheritance,R1687,XXXX-XXXX-5383,KYRPD8322M,7409960012,"17/229, Varughese Zila, Buxar-619018",19.2183,74.2098,Sandy,Medium,Disputed,Residential,Paid,Partially cultivated,2024-12-18
PLOT041,Aayush Dave,Zaina Shinde,534/A,293,5.65,Non-Agricultural,Ratlam,Pandharpur,Pune,Maharashtra,Joint,4,Paddy,Well,Bank Loan,M9742,2022-10-04,₹419559,₹1937540,Sale,R9249,XXXX-XXXX-1890,HCIPD6748H,1241732149,"H.No. 20, Vyas Path, Dhule-142469",18.7426,73.9934,Laterite,Medium,Active,Fallow,Paid,Dryland,2025-04-05
PLOT042,Neelofar Ravi,Azad Shinde,455/C,245,7.66,Agricultural,Meerut,Baramati,Pune,Maharashtra,Joint,3,Sugarcane,Canal,Legal Dispute,M2714,2021-01-17,₹528032,₹1792444,Gift,R9203,XXXX-XXXX-9904,VHTPC9914E,07303261786,"H.No. 187, Biswas, Bathinda-957201",19.3356,74.719,Sandy,Medium,Disputed,Crop,Paid,Dryland,2025-06-20
PLOT043,Shray Agrawal,Inaaya  Deshmukh,155/C,547,2.18,Agricultural,Berhampur,Rahuri,Ahmednagar,Maharashtra,Joint,2,Fallow,Rainfed,None,M5768,2024-01-24,₹487072,₹1625742,Inheritance,R9040,XXXX-XXXX-8854,QSTPF2006A,+918724635530,"940, Sekhon Zila, Hyderabad 422740",17.3908,74.1586,Black Cotton,Fertile,Disputed,Crop,Unpaid,Partially cultivated,2025-01-03
PLOT044,Aniruddh Deo,Rasha Jadhav,852/B,807,4.9,Non-Agricultural,Anantapuram,Sangola,Beed,Maharashtra,Single,1,Cotton,Borewell,Legal Dispute,M3526,2023-08-30,₹607758,₹1293427,Gift,R2184,XXXX-XXXX-4294,WMUPD6068J,+913781488038,"98, Mandal Zila, Amroha 721595",19.3029,74.2075,Alluvial,Fertile,Active,Crop,Unpaid,Dryland,2024-11-06
PLOT045,Ishaan Gopal,Akarsh Kadam,497/B,877,1.32,Non-Agricultural,Tiruppur,Baramati,Pune,Maharashtra,Joint,4,Wheat,Rainfed,None,M3546,2020-11-12,₹764665,₹1473934,Inheritance,R1725,XXXX-XXXX-4507,PUHPF3029K,+917227334683,"616, Solanki Zila, Machilipatnam-918086",19.8247,74.2332,Alluvial,Medium,Disputed,Crop,Unpaid,Dryland,2024-12-10
PLOT046,Aarna Kulkarni,Devansh Shinde,129/C,283,6.9,Non-Agricultural,Malda,Baramati,Ahmednagar,Maharashtra,Joint,4,Fallow,Borewell,Legal Dispute,M8001,2025-02-05,₹405158,₹1337965,Inheritance,R8921,XXXX-XXXX-3057,PMKPR9045W,0842742206,"29/20, Solanki, Faridabad-033749",17.6361,75.9317,Alluvial,Low,Disputed,Crop,Paid,Under observation,2024-11-22
PLOT047,Dhanush Basak,Pihu Kadam,561/C,563,7.01,Agricultural,Jalna,Beed,Kolhapur,Maharashtra,Joint,4,Cotton,Well,None,M6740,2021-11-13,₹297628,₹1098441,Gift,R5512,XXXX-XXXX-4556,ZACPP6526R,3718371754,"90/62, Khalsa Marg, Ongole-336021",18.5511,73.0428,Sandy,Fertile,Disputed,Residential,Paid,Irrigated area,2025-04-05
PLOT048,Ivana Bhandari,Vivaan Deshmukh,548/B,107,1.27,Agricultural,Hubli–Dharwad,Baramati,Beed,Maharashtra,Single,1,Sugarcane,Well,Bank Loan,M2197,2021-09-17,₹399449,₹1775219,Inheritance,R9646,XXXX-XXXX-6654,YXLPU3686G,08351561492,"H.No. 66, Sangha Path, Tadepalligudem-683082",19.1059,74.2734,Red,Medium,Active,Crop,Unpaid,Under observation,2024-12-13
PLOT049,Nakul Gour,Nishith Kadam,751/A,743,6.72,Non-Agricultural,Tadepalligudem,Karjat,Nashik,Maharashtra,Joint,4,Cotton,Well,Bank Loan,M1853,2023-12-05,₹755855,₹1303570,Gift,R2412,XXXX-XXXX-4587,ECPPO7937Z,0194726154,"395, Anand Road, Naihati-608395",17.4678,74.7308,Sandy,Fertile,Disputed,Residential,Unpaid,Under observation,2025-04-25
PLOT050,Miraan Kakar,Ishaan Patil,238/B,348,9.03,Non-Agricultural,Coimbatore,Karjat,Kolhapur,Maharashtra,Joint,2,Sugarcane,Canal,Bank Loan,M3329,2023-07-31,₹353307,₹1563630,Gift,R3739,XXXX-XXXX-4023,WNNPF9976S,02494924066,"16, Gade Marg, Gopalpur 336318",19.4574,73.9683,Black Cotton,Medium,Disputed,Fallow,Paid,Partially cultivated,2025-09-28
PLOT051,Dharmajan Sur,Ayesha Shinde,942/B,726,1.55,Agricultural,Buxar,Karjat,Solapur,Maharashtra,Joint,2,Fallow,Borewell,Bank Loan,M6490,2023-04-17,₹382466,₹1716367,Gift,R5235,XXXX-XXXX-8598,ZPEPJ6328S,00593640339,"H.No. 88, Singhal Marg, Orai-606419",17.6276,75.6846,Laterite,Medium,Active,Residential,Paid,Under observation,2025-09-07
PLOT052,Yuvraj  Kari,Sana Kadam,967/C,145,2.45,Agricultural,Kozhikode,Karjat,Beed,Maharashtra,Single,1,Sugarcane,Well,Legal Dispute,M5552,2025-05-31,₹707961,₹1861670,Inheritance,R3231,XXXX-XXXX-9564,AOWPL7468U,07620774563,"25, Shukla Street, Tadipatri-081752",18.016,74.9984,Black Cotton,Low,Active,Fallow,Paid,Under observation,2025-02-03
PLOT053,Samarth Chandra,Nishith Shinde,982/B,826,1.43,Non-Agricultural,Indore,Pandharpur,Solapur,Maharashtra,Joint,3,Wheat,Canal,Legal Dispute,M3781,2023-05-01,₹589141,₹1640215,Gift,R6694,XXXX-XXXX-9305,NMCPM6927F,04405341288,"518, Soni Street, Jammu 691431",17.8055,74.7047,Alluvial,Low,Active,Residential,Unpaid,Partially cultivated,2025-02-07
PLOT054,Divij Dyal,Nehmat Patil,686/C,531,9.55,Agricultural,Madanapalle,Rahuri,Kolhapur,Maharashtra,Joint,3,Maize,Borewell,Mortgage,M8367,2021-01-04,₹352219,₹1659464,Gift,R5827,XXXX-XXXX-4595,QRQPV1843V,+915774030674,"H.No. 747, Subramaniam, Bongaigaon-127424",19.7581,74.4165,Red,Medium,Disputed,Residential,Unpaid,Under observation,2025-03-05
PLOT055,Pranay Rastogi,Raunak Deshmukh,910/C,421,7.09,Non-Agricultural,Dibrugarh,Karmala,Beed,Maharashtra,Single,1,Fallow,Well,None,M2146,2022-03-10,₹729421,₹1255490,Inheritance,R8172,XXXX-XXXX-3913,TPKPU0458K,05548321586,"391, Sama Path, Fatehpur-501792",18.6729,74.3922,Sandy,Low,Active,Crop,Paid,Under observation,2025-04-20
PLOT056,Oorja Bali,Vritika Patil,877/A,752,4.42,Agricultural,Secunderabad,Karmala,Pune,Maharashtra,Single,1,Wheat,Canal,Legal Dispute,M7412,2023-10-24,₹268002,₹1414147,Sale,R6449,XXXX-XXXX-6879,HYCPU0785C,+913444016788,"H.No. 32, Dara Street, Bhavnagar-622593",18.773,74.8487,Sandy,Low,Active,Fallow,Unpaid,Partially cultivated,2025-06-19
PLOT057,Aarav Dhar,Ayesha Kadam,516/C,874,8.45,Agricultural,Dehri,Karjat,Pune,Maharashtra,Single,1,Soybean,Borewell,Mortgage,M5281,2025-06-13,₹725284,₹1306183,Sale,R2826,XXXX-XXXX-9597,YNTPW0740T,7284683986,"29/92, Gulati Chowk, Nagercoil-332748",19.4889,73.3575,Laterite,Fertile,Active,Residential,Unpaid,Dryland,2025-01-08
PLOT058,Vihaan Lala,Rasha Deshmukh,529/C,300,5.22,Agricultural,Cuttack,Karjat,Pune,Maharashtra,Joint,2,Sugarcane,Borewell,Mortgage,M2532,2021-09-01,₹597475,₹1294833,Gift,R1388,XXXX-XXXX-7483,YOZPW6902N,+913175157361,"679, Chauhan Path, Nashik 704283",19.1066,74.3492,Black Cotton,Fertile,Disputed,Fallow,Unpaid,Under observation,2025-07-13
PLOT059,Shalv Wable,Aarush Shinde,743/C,909,4.95,Non-Agricultural,Giridih,Sangola,Beed,Maharashtra,Single,1,Wheat,Canal,Legal Dispute,M1448,2023-09-24,₹220164,₹1050678,Sale,R6279,XXXX-XXXX-6444,BNBPU3494S,07268050067,"456, Divan Circle, Bally-497480",18.1378,73.6311,Laterite,Fertile,Active,Fallow,Paid,Irrigated area,2024-10-28
PLOT060,Oorja Chand,Farhan Shinde,284/A,945,2.5,Non-Agricultural,Ramagundam,Pandharpur,Beed,Maharashtra,Single,1,Paddy,Canal,None,M9873,2023-09-14,₹357504,₹1692563,Gift,R1184,XXXX-XXXX-8890,IUKPP4320Q,6461141365,"35, Mahal Nagar, Haldia-871062",18.8159,75.1484,Laterite,Low,Active,Crop,Paid,Partially cultivated,2025-02-26
PLOT061,Diya Bumb,Umang Deshmukh,782/A,125,4.57,Agricultural,Nandyal,Karmala,Ahmednagar,Maharashtra,Joint,4,Sugarcane,Rainfed,Mortgage,M4574,2022-07-07,₹324654,₹1676055,Inheritance,R2909,XXXX-XXXX-7618,FJKPU1794T,00485530227,"98, Chaudhry Ganj, Gopalpur 545232",17.6615,75.8437,Sandy,Low,Disputed,Residential,Unpaid,Dryland,2025-04-02
PLOT062,Jayant Mahajan,Yakshit Kadam,908/B,485,4.96,Agricultural,Muzaffarpur,Baramati,Beed,Maharashtra,Single,1,Fallow,Rainfed,Mortgage,M4932,2024-09-20,₹252345,₹1315767,Sale,R7791,XXXX-XXXX-2930,DHMPY6406L,02020922419,"H.No. 77, Kar Zila, Jalandhar 081957",19.8813,74.0037,Black Cotton,Medium,Disputed,Residential,Unpaid,Partially cultivated,2024-11-22
PLOT063,Riaan Vora,Adah Deshmukh,290/B,940,0.65,Non-Agricultural,Orai,Pandharpur,Nashik,Maharashtra,Joint,3,Wheat,Well,Bank Loan,M2941,2022-11-06,₹562809,₹912400,Gift,R5044,XXXX-XXXX-2609,HWZPU3306D,02323117920,"96/241, Zacharia Nagar, Purnia-182205",19.0096,73.5502,Black Cotton,Fertile,Disputed,Residential,Unpaid,Irrigated area,2025-05-14
